PV_gen_share,ReM_OcM_Ratio,REM,Storage_hrs,Storage_LCOH,GreenHydrogen_LCOH,Transport_LCHS,Electricity_LCOH,Electricity_LCOS,Total_LCOH
0.15,0.35,2.9,1,0.0194169198561918,4.59521732131968,0.0544999535191636,5.11524467848091,372.488480548013,9.78437887317595
0.15,0.35,2.9,2,0.0388294197442851,4.42280093464527,0.0544937504741466,4.93388603565925,359.282073123735,9.45001014052295
0.15,0.35,2.9,4,0.0776411656516361,4.17823210868397,0.0544813486192367,4.67575634900317,340.485252871647,8.98611097195801
0.15,0.35,2.9,8,0.155211684200768,3.89493220734537,0.0544565618364254,4.37699676637598,318.729792482798,8.48159721975854
0.15,0.35,2.9,16,0.310141165339353,3.65482892858318,0.0544070558711195,4.12495662029179,300.376408245491,8.14433377008543
0.15,0.35,2.9,24,0.464789212361428,3.53379711764522,0.0543576398349059,3.99721430202359,291.074303453989,8.05015827186515
0.15,0.35,2.9,48,0.927052396394805,3.37351521333908,0.0542099288570936,3.82941942929503,278.85560012405,8.18419696788601
0.15,0.35,3,1,0.0194169198561918,4.70123349616073,0.0550957630584534,5.24167007688544,381.694688171373,10.0174162559608
0.15,0.35,3,2,0.0388294197442852,4.52758151696109,0.0550894921999218,5.0585109957585,368.357174109816,9.68001142466379
0.15,0.35,3,4,0.0776411656516361,4.27700471974475,0.0550769547642823,4.79336657568138,349.049545957483,9.20308941584205
0.15,0.35,3,8,0.155211684200768,3.9872241051518,0.0550518970050628,4.48713190279632,326.749754810845,8.68461958915395
0.15,0.35,3,16,0.310141165339353,3.74504499262446,0.0550018498259673,4.23188351199583,308.162748474359,8.34207151978561
0.15,0.35,3,24,0.464789212361428,3.62262089184638,0.0549518935590953,4.10248974587361,298.740386424307,8.24485174364051
0.15,0.35,3,48,0.927052396394804,3.45372228253419,0.0548025677613803,3.924935737937,285.811029807263,8.36051298462738
0.15,0.35,3.1,1,0.0194169198561918,4.80704358833947,0.055688660948921,5.36760872600187,390.865451057652,10.2497578951465
0.15,0.35,3.1,2,0.0388294197442851,4.63224806869845,0.0556823226082712,5.1827812937941,377.406448856586,9.9095411048451
0.15,0.35,3.1,4,0.077641165651636,4.37562141613569,0.0556696502544686,4.91060965013952,357.587103279699,9.41954188218132
0.15,0.35,3.1,8,0.155211684200768,4.08105463838134,0.0556443228430698,4.59855193733148,334.863282506051,8.89046258275665
0.15,0.35,3.1,16,0.310141165339353,3.83562610837631,0.0555937370950306,4.33903334737467,315.965323303113,8.54039435818536
0.15,0.35,3.1,24,0.464789212361427,3.71212354277994,0.0555432432375419,4.20817339723045,306.436194775036,8.44062939560936
0.15,0.35,3.1,48,0.927052396394803,3.53791226889353,0.0553923105113529,4.02466186179174,293.073015241091,8.54501883759143
0.15,0.35,3.2,1,0.0194169198561918,4.91302928065551,0.0562787869955779,5.49346898456124,400.030505599301,10.4821939720685
0.15,0.35,3.2,2,0.0388294197442851,4.73668128192,0.056272381488294,5.30654297486237,386.418686477423,10.138326058015
0.15,0.35,3.2,4,0.0776411656516361,4.47422881034444,0.0562595748470814,5.02761484860625,366.10733864135,9.63574439944941
0.15,0.35,3.2,8,0.155211684200768,4.17522913975206,0.0562339790441481,4.71010102456877,342.986207727269,9.09677582756574
0.15,0.35,3.2,16,0.310141165339353,3.92672564085644,0.056182857245017,4.44648615466568,323.789960331099,8.73953581810649
0.15,0.35,3.2,24,0.464789212361428,3.80396485907836,0.0561318283101896,4.31637327400013,314.315232871292,8.64125917375011
