PV_gen_share,OcM,REM,Storage_hrs,BackupShare,Storage_LCOH,GreenHydrogen_LCOH,Transport_LCHS,Electricity_LCOH,Total_LCOH
0,1,1,1,0.563448529994592,0.0194191303434248,3.17289923937045,0.0542498533413887,2.99373575350726,6.24030397656253
0,1,1,2,0.563448529994592,0.0388382606868496,3.17289923937045,0.0542498533413887,2.99373575350726,6.25972310690596
0,1,1,3,0.563448529994592,0.0582573910302744,3.17289923937045,0.0542498533413887,2.99373575350726,6.27914223724938
0,1,1,4,0.563448529994592,0.0776765213736992,3.17289923937045,0.0542498533413887,2.99373575350726,6.29856136759281
0,1,1,5,0.563448529994592,0.097095651717124,3.17289923937045,0.0542498533413887,2.99373575350726,6.31798049793623
0,1,1,6,0.563448529994592,0.116514782060549,3.17289923937045,0.0542498533413887,2.99373575350726,6.33739962827966
0,1,1,7,0.563448529994592,0.135933912403974,3.17289923937045,0.0542498533413887,2.99373575350726,6.35681875862308
0,1,1,8,0.563448529994592,0.155353042747398,3.17289923937045,0.0542498533413887,2.99373575350726,6.3762378889665
0,1,1,9,0.563448529994592,0.174772173090823,3.17289923937045,0.0542498533413887,2.99373575350726,6.39565701930993
0,1,1,10,0.563448529994592,0.194191303434248,3.17289923937045,0.0542498533413887,2.99373575350726,6.41507614965335
0,1,1,11,0.563448529994592,0.213610433777673,3.17289923937045,0.0542498533413887,2.99373575350726,6.43449527999678
0,1,1,12,0.563448529994592,0.233029564121098,3.17289923937045,0.0542498533413887,2.99373575350726,6.4539144103402
0,1,1,13,0.563448529994592,0.252448694464522,3.17289923937045,0.0542498533413887,2.99373575350726,6.47333354068363
0,1,1,14,0.563448529994592,0.271867824807947,3.17289923937045,0.0542498533413887,2.99373575350726,6.49275267102705
0,1,1,15,0.563448529994592,0.291286955151372,3.17289923937045,0.0542498533413887,2.99373575350726,6.51217180137048
0,1,1,16,0.563448529994592,0.310706085494797,3.17289923937045,0.0542498533413887,2.99373575350726,6.5315909317139
0,1,1,17,0.563448529994592,0.330125215838222,3.17289923937045,0.0542498533413887,2.99373575350726,6.55101006205733
0,1,1,18,0.563448529994592,0.349544346181647,3.17289923937045,0.0542498533413887,2.99373575350726,6.57042919240075
0,1,1,19,0.563448529994592,0.368963476525071,3.17289923937045,0.0542498533413887,2.99373575350726,6.58984832274418
0,1,1,20,0.563448529994592,0.388382606868496,3.17289923937045,0.0542498533413887,2.99373575350726,6.6092674530876
0,1,1,21,0.563448529994592,0.407801737211921,3.17289923937045,0.0542498533413887,2.99373575350726,6.62868658343103
0,1,1,22,0.563448529994592,0.427220867555346,3.17289923937045,0.0542498533413887,2.99373575350726,6.64810571377445
0,1,1,23,0.563448529994592,0.446639997898771,3.17289923937045,0.0542498533413887,2.99373575350726,6.66752484411788
0,1,1,24,0.563448529994592,0.466059128242195,3.17289923937045,0.0542498533413887,2.99373575350726,6.6869439744613
0,1,1,25,0.563448529994592,0.48547825858562,3.17289923937045,0.0542498533413887,2.99373575350726,6.70636310480473
0,1,2,1,0.388515221905236,0.0194169198561918,6.12796422656127,0.0704705072593261,4.27378250431865,10.4916341579954
0,1,2,2,0.365503694730526,0.0388294197442852,6.12106512217682,0.0704624864868176,4.11807261275798,10.3484296411659
0,1,2,3,0.347211340625449,0.0582375011733167,6.11593226052351,0.0704544675399088,4.00201909252889,10.2466433217656
0,1,2,4,0.331730174381824,0.0776411656516362,6.11151487305628,0.0704464504179767,3.90868998478911,10.168292473915
