PV_gen_share,ReM_OcM_Ratio,REM,Storage_hrs,Storage_LCOH,GreenHydrogen_LCOH,Transport_LCHS,Electricity_LCOH,Electricity_LCOS,Total_LCOH
0,0.45,2.3,1,0.013386459151397,5.1850476460467,0.0548407812079996,4.83023880139624,351.734555217886,10.0835136878023
0,0.45,2.3,2,0.0267716029268958,5.1666805154392,0.0548380868344905,4.81406091841087,350.556493281366,10.0623511236115
0,0.45,2.3,3,0.0401537919020826,5.16031969202109,0.0548331536982991,4.80835873414623,350.141264277468,10.0636653717677
0,0.45,2.3,4,0.053537571966861,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.0742546383504
0,0.45,2.3,5,0.0669219649585762,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.0876390313421
0,0.45,2.3,6,0.0803063579502915,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.1010234243339
0,0.45,2.3,7,0.0936907509420067,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.1144078173256
0,0.45,2.3,8,0.107075143933722,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.1277922103173
0,0.45,2.3,9,0.120459536925437,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.141176603309
0,0.45,2.3,10,0.133843929917152,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.1545609963007
0,0.45,2.3,11,0.147228322908868,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.1679453892924
0,0.45,2.3,12,0.160612715900583,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.1813297822842
0,0.45,2.3,13,0.173997108892298,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.1947141752759
0,0.45,2.3,14,0.187381501884013,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.2080985682676
0,0.45,2.3,15,0.200765894875729,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.2214829612593
0,0.45,2.3,16,0.214150287867444,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.234867354251
0,0.45,2.3,17,0.227534680859159,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.2482517472427
0,0.45,2.3,18,0.240919073850874,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.2616361402344
0,0.45,2.3,19,0.25430346684259,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.2750205332262
0,0.45,2.3,20,0.267687859834305,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.2884049262179
0,0.45,2.3,21,0.28107225282602,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.3017893192096
0,0.45,2.3,22,0.294456645817735,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.3151737122013
0,0.45,2.3,23,0.307841038809451,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.328558105193
0,0.45,2.3,24,0.321225431801166,5.15883313811668,0.0548323166984706,4.80705161156841,350.046080540716,10.3419424981847
0,0.45,2.4,1,0.0133864591513969,5.26327103374215,0.0556041340926516,4.91686998327217,358.042976287321,10.2491316102584
0,0.45,2.4,2,0.026769871077856,5.21519696299566,0.0555978053726318,4.87401736972485,354.922479437013,10.171582009171
0,0.45,2.4,3,0.0401502368197411,5.19467177241925,0.0555914780930856,4.85588046524793,353.601762948343,10.14629395258
0,0.45,2.4,4,0.053527557416942,5.18283070876734,0.0555851522535211,4.84562922946923,352.855275247567,10.137572647907
0,0.45,2.4,5,0.0669018339088756,5.17527549240171,0.0555788278534467,4.83903884778284,352.375368338926,10.1367950019469
0,0.45,2.4,6,0.0802730673344857,5.17132188250889,0.0555725048923712,4.83548565520549,352.116627381763,10.1426531099412
0,0.45,2.4,7,0.0936489014089225,5.16962315228891,0.0555707184901079,4.83398025663048,352.007005327869,10.1528230288184
0,0.45,2.4,8,0.107027315895911,5.16956422715911,0.0555707184901079,4.83392834949375,352.003225487078,10.1660906110389
0,0.45,2.4,9,0.1204057303829,5.16956422715911,0.0555707184901079,4.83392834949375,352.003225487078,10.1794690255259
0,0.45,2.4,10,0.133784144869889,5.16956422715911,0.0555707184901079,4.83392834949375,352.003225487078,10.1928474400129
0,0.45,2.4,11,0.147162559356878,5.16956422715911,0.0555707184901079,4.83392834949375,352.003225487078,10.2062258544998
0,0.45,2.4,12,0.160540973843867,5.16956422715911,0.0555707184901079,4.83392834949375,352.003225487078,10.2196042689868
0,0.45,2.4,13,0.173919388330856,5.16956422715911,0.0555707184901079,4.83392834949375,352.003225487078,10.2329826834738
0,0.45,2.4,14,0.187297802817845,5.16956422715911,0.0555707184901079,4.83392834949375,352.003225487078,10.2463610979608
0,0.45,2.4,15,0.200676217304834,5.16956422715911,0.0555707184901079,4.83392834949375,352.003225487078,10.2597395124478
0,0.45,2.4,16,0.214054631791823,5.16956422715911,0.0555707184901079,4.83392834949375,352.003225487078,10.2731179269348
0,0.45,2.4,17,0.227433046278812,5.16956422715911,0.0555707184901079,4.83392834949375,352.003225487078,10.2864963414218
0,0.45,2.4,18,0.240811460765801,5.16956422715911,0.0555707184901079,4.83392834949375,352.003225487078,10.2998747559088
0,0.45,2.4,19,0.25418987525279,5.16956422715911,0.0555707184901079,4.83392834949375,352.003225487078,10.3132531703958
0,0.45,2.4,20,0.267568289739779,5.16956422715911,0.0555707184901079,4.83392834949375,352.003225487078,10.3266315848827
0,0.45,2.4,21,0.280946704226768,5.16956422715911,0.0555707184901079,4.83392834949375,352.003225487078,10.3400099993697
0,0.45,2.4,22,0.294325118713757,5.16956422715911,0.0555707184901079,4.83392834949375,352.003225487078,10.3533884138567
0,0.45,2.4,23,0.307703533200746,5.16956422715911,0.0555707184901079,4.83392834949375,352.003225487078,10.3667668283437
0,0.45,2.4,24,0.321081947687734,5.16956422715911,0.0555707184901079,4.83392834949375,352.003225487078,10.3801452428307
0,0.45,2.5,1,0.0133864591513969,5.36217987073727,0.0563628720893674,5.02114456790729,365.636177401221,10.4530737698853
0,0.45,2.5,2,0.026769871077856,5.26541613870989,0.0563564570117337,4.93448378753267,359.325600990156,10.2830262543321
0,0.45,2.5,3,0.040150236819741,5.22425236037908,0.0563500433942292,4.89761319315189,356.64071052234,10.2183658337449
0,0.45,2.5,4,0.0535275574169419,5.19742779778556,0.0563436312363555,4.87382637742916,354.908571513837,10.181125363868
0,0.45,2.5,5,0.0669018339088756,5.17761736770075,0.0563372205376143,4.85633939446475,353.635181847614,10.157195816612
0,0.45,2.5,6,0.0802730673344856,5.164167227641,0.0563308112975076,4.84463418781402,352.782817021709,10.145405294087
0,0.45,2.5,7,0.0936412587322432,5.15383818582417,0.0563244035155377,4.83567790099837,352.130626583714,10.1394817490703
0,0.45,2.5,8,0.107006409140147,5.1446654439673,0.056317997191207,4.82768119042022,351.548311805074,10.1356710407189
0,0.45,2.5,9,0.120368519595723,5.13858435878106,0.0563115923240182,4.82239042509339,351.163042035708,10.1376548957942
0,0.45,2.5,10,0.133727591136026,5.1330555729502,0.0563051889134742,4.81753354802146,350.80936770057,10.1406219010212
0,0.45,2.5,11,0.147083624797639,5.12883226850558,0.0562987869590781,4.81375863682205,350.534481350991,10.1459733170843
0,0.45,2.5,12,0.160436621616673,5.12606369961541,0.0562923864603333,4.81125230141088,350.351971788354,10.1540450091033
0,0.45,2.5,13,0.173802084042286,5.12555530288836,0.0562910080135755,4.81078589687213,350.318008541456,10.1664342918164
0,0.45,2.5,14,0.187171475122462,5.12555530288836,0.0562910080135755,4.81078589687213,350.318008541456,10.1798036828965
0,0.45,2.5,15,0.200540866202638,5.12555530288836,0.0562910080135755,4.81078589687213,350.318008541456,10.1931730739767
0,0.45,2.5,16,0.213910257282814,5.12555530288836,0.0562910080135755,4.81078589687213,350.318008541456,10.2065424650569
0,0.45,2.5,17,0.22727964836299,5.12555530288836,0.0562910080135755,4.81078589687213,350.318008541456,10.2199118561371
0,0.45,2.5,18,0.240649039443166,5.12555530288836,0.0562910080135755,4.81078589687213,350.318008541456,10.2332812472172
0,0.45,2.5,19,0.254018430523342,5.12555530288836,0.0562910080135755,4.81078589687213,350.318008541456,10.2466506382974
0,0.45,2.5,20,0.267387821603518,5.12555530288836,0.0562910080135755,4.81078589687213,350.318008541456,10.2600200293776
0,0.45,2.5,21,0.280757212683693,5.12555530288836,0.0562910080135755,4.81078589687213,350.318008541456,10.2733894204578
0,0.45,2.5,22,0.294126603763869,5.12555530288836,0.0562910080135755,4.81078589687213,350.318008541456,10.2867588115379
0,0.45,2.5,23,0.307495994844045,5.12555530288836,0.0562910080135755,4.81078589687213,350.318008541456,10.3001282026181
0,0.45,2.5,24,0.320865385924221,5.12555530288836,0.0562910080135755,4.81078589687213,350.318008541456,10.3134975936983
0,0.46,2.2,1,0.0133875609509073,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.0836159725472
0,0.46,2.2,2,0.0267751219018146,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.0970035334982
0,0.46,2.2,3,0.040162682852722,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.1103910944491
0,0.46,2.2,4,0.0535502438036293,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.1237786554
0,0.46,2.2,5,0.0669378047545366,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.1371662163509
0,0.46,2.2,6,0.0803253657054439,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.1505537773018
0,0.46,2.2,7,0.0937129266563513,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.1639413382527
0,0.46,2.2,8,0.107100487607259,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.1773288992036
0,0.46,2.2,9,0.120488048558166,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.1907164601545
0,0.46,2.2,10,0.133875609509073,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.2041040211054
0,0.46,2.2,11,0.147263170459981,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.2174915820563
0,0.46,2.2,12,0.160650731410888,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.2308791430072
0,0.46,2.2,13,0.174038292361795,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.2442667039581
0,0.46,2.2,14,0.187425853312703,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.257654264909
0,0.46,2.2,15,0.20081341426361,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.2710418258599
0,0.46,2.2,16,0.214200975214517,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.2844293868109
0,0.46,2.2,17,0.227588536165425,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.2978169477618
0,0.46,2.2,18,0.240976097116332,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.3112045087127
0,0.46,2.2,19,0.254363658067239,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.3245920696636
0,0.46,2.2,20,0.267751219018147,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.3379796306145
0,0.46,2.2,21,0.281138779969054,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.3513671915654
0,0.46,2.2,22,0.294526340919961,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.3647547525163
0,0.46,2.2,23,0.307913901870869,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.3781423134672
0,0.46,2.2,24,0.321301462821776,5.24630216081226,0.0544532253433693,4.76947302544071,347.309634617272,10.3915298744181
0,0.46,2.3,1,0.0133864591513968,5.26154009123514,0.0552315340446665,4.80029550202477,349.554105447342,10.130453586456
0,0.46,2.3,2,0.0267698710778558,5.23005388790303,0.0552252477330291,4.77297030762442,347.564304219322,10.0850193143383
0,0.46,2.3,3,0.0401508116183291,5.21600007301549,0.0552197533776098,4.76087055515598,346.683208847493,10.0722411931674
0,0.46,2.3,4,0.0535283236406488,5.20954800446813,0.0552134697472246,4.75528710251518,346.276625796025,10.0735769003712
0,0.46,2.3,5,0.0669081115163464,5.20723780567492,0.0552115775693207,4.75331715946138,346.133175943478,10.082674654222
0,0.46,2.3,6,0.0802897338196157,5.20702990429185,0.0552115775693207,4.75314043162025,346.12030674774,10.095671647301
0,0.46,2.3,7,0.0936713561228849,5.20702990429185,0.0552115775693207,4.75314043162025,346.12030674774,10.1090532696043
0,0.46,2.3,8,0.107052978426154,5.20702990429185,0.0552115775693207,4.75314043162025,346.12030674774,10.1224348919076
0,0.46,2.3,9,0.120434600729424,5.20702990429185,0.0552115775693207,4.75314043162025,346.12030674774,10.1358165142109
0,0.46,2.3,10,0.133816223032693,5.20702990429185,0.0552115775693207,4.75314043162025,346.12030674774,10.1491981365141
0,0.46,2.3,11,0.147197845335962,5.20702990429185,0.0552115775693207,4.75314043162025,346.12030674774,10.1625797588174
0,0.46,2.3,12,0.160579467639231,5.20702990429185,0.0552115775693207,4.75314043162025,346.12030674774,10.1759613811207
0,0.46,2.3,13,0.173961089942501,5.20702990429185,0.0552115775693207,4.75314043162025,346.12030674774,10.1893430034239
0,0.46,2.3,14,0.18734271224577,5.20702990429185,0.0552115775693207,4.75314043162025,346.12030674774,10.2027246257272
0,0.46,2.3,15,0.200724334549039,5.20702990429185,0.0552115775693207,4.75314043162025,346.12030674774,10.2161062480305
0,0.46,2.3,16,0.214105956852308,5.20702990429185,0.0552115775693207,4.75314043162025,346.12030674774,10.2294878703337
0,0.46,2.3,17,0.227487579155578,5.20702990429185,0.0552115775693207,4.75314043162025,346.12030674774,10.242869492637
0,0.46,2.3,18,0.240869201458847,5.20702990429185,0.0552115775693207,4.75314043162025,346.12030674774,10.2562511149403
0,0.46,2.3,19,0.254250823762116,5.20702990429185,0.0552115775693207,4.75314043162025,346.12030674774,10.2696327372435
0,0.46,2.3,20,0.267632446065386,5.20702990429185,0.0552115775693207,4.75314043162025,346.12030674774,10.2830143595468
0,0.46,2.3,21,0.281014068368655,5.20702990429185,0.0552115775693207,4.75314043162025,346.12030674774,10.2963959818501
0,0.46,2.3,22,0.294395690671924,5.20702990429185,0.0552115775693207,4.75314043162025,346.12030674774,10.3097776041533
0,0.46,2.3,23,0.307777312975193,5.20702990429185,0.0552115775693207,4.75314043162025,346.12030674774,10.3231592264566
0,0.46,2.3,24,0.321158935278463,5.20702990429185,0.0552115775693207,4.75314043162025,346.12030674774,10.3365408487599
0,0.46,2.4,1,0.0133864591513968,5.3407316927776,0.0560093505561373,4.88599833372979,355.794924717388,10.2961258362149
0,0.46,2.4,2,0.0267698710778559,5.25935302220375,0.0560029757154183,4.81477055625489,350.608168604615,10.1568964252519
0,0.46,2.4,3,0.0401502368197407,5.2262333073766,0.0559966023256702,4.78585167575439,348.502316287893,10.1082318222764
0,0.46,2.4,4,0.0535275574169415,5.20436736119811,0.0559902303863978,4.76699149114595,347.128931054298,10.0808766401474
0,0.46,2.4,5,0.0669018339088749,5.19013489686584,0.0559838598971058,4.75480814780731,346.241748654735,10.0678287384791
0,0.46,2.4,6,0.0802730673344848,5.17952078972739,0.0559774908572995,4.74586473389024,345.590495612061,10.0616360818094
0,0.46,2.4,7,0.0936412587322422,5.17056232747075,0.0559711232664842,4.73837200811954,345.044880648767,10.058546717589
