Index,G(i)
611,638.66
612,838.13
613,966.57
614,1034.86
615,1038.4
616,975.16
617,850.05
618,673.8
619,463.13
620,240.39
621,52.1
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,40.81
633,218.43
634,440.65
635,653.49
636,837.12
637,966.3
638,1032.74
639,1038.28
640,976.73
641,852.98
642,675.59
643,464.16
644,240.43
645,51.55
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,40.74
657,224.14
658,451.9
659,667.87
660,849.54
661,981.07
662,1051.65
663,1055.24
664,991.2
665,864.25
666,689.21
667,473.55
668,245.34
669,52.07
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,39.66
681,224.4
682,453.14
683,671.55
684,855.31
685,988.24
686,1060.06
687,1065.25
688,1003.11
689,878.52
690,704.74
691,487.15
692,253.3
693,52.99
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,38.42
705,221.84
706,441.32
707,651.39
708,817.9
709,961.95
710,1029.38
711,1029.77
712,951.35
713,820.85
714,581.13
715,309.78
716,139.24
717,34.45
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,9.62
729,84.9
730,178.87
731,306.14
732,517.69
733,481.93
734,738.34
735,518.14
736,486.48
737,573.18
738,299.51
739,214.52
740,81.11
741,10.82
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,4.1
753,23.4
754,60.9
755,139.8
756,105.5
757,112
758,182.25
759,247.84
760,273.69
761,287.87
762,184.54
763,182.01
764,91.56
765,24.27
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,21.44
777,122.75
778,246.29
779,345.11
780,429.53
781,717.67
782,782.69
783,837.84
784,923.34
785,781.5
786,606.65
787,393.09
788,180.87
789,34.02
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,15.63
801,99.37
802,279.44
803,385.64
804,466.29
805,574.5
806,678.92
807,626.24
808,574.55
809,482.5
810,419.58
811,262.48
812,134.32
813,24.19
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,14
825,203.52
826,433.76
827,655.75
828,839.45
829,974.72
830,1047.29
831,1050.43
832,986.29
833,857.21
834,676.43
835,459.34
836,230.64
837,42.72
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,13.35
849,202.36
850,430.34
851,649.89
852,835.09
853,969.21
854,1040.97
855,1044.31
856,979.38
857,852.44
858,676.46
859,460.12
860,230.58
861,41.77
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,12.8
873,200.36
874,429.33
875,649.82
876,835.91
877,970.93
878,1043.14
879,1047.23
880,982.95
881,854.86
882,671.74
883,454.55
884,226.26
885,39.76
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,11.9
897,183.24
898,405.31
899,612.28
900,759.49
901,931.26
902,991.25
903,974.56
904,889.8
905,814.98
906,612.79
907,408.93
908,213.57
909,37.13
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,11.3
921,185.1
922,404.74
923,619.5
924,800.45
925,927.34
926,947.66
927,942.94
928,733.38
929,736.19
930,592.02
931,366.72
932,140.2
933,28.94
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,10.9
945,181.84
946,401.73
947,616.18
948,798.63
949,931.35
950,1005.67
951,1004.52
952,922.11
953,801.31
954,515.42
955,384.55
956,179.49
957,31.08
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,10.25
969,178.93
970,399.21
971,613.56
972,795.76
973,928.43
974,1000.7
975,984.79
976,896.68
977,789.36
978,647.97
979,439.78
980,213.85
981,33.8
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,9.8
993,177.37
994,397.25
995,611.1
996,792.89
997,924.96
998,996.58
999,994.05
1000,927.36
1001,796.03
1002,641.76
1003,428.92
1004,205.93
1005,31.52
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,9.1
1017,148.94
1018,341.92
1019,501.75
1020,727.48
1021,927.05
1022,1022.62
1023,967.26
1024,849.87
1025,802.45
1026,643.1
1027,428.65
1028,201.09
1029,13.65
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,8.9
1041,128.81
1042,330.96
1043,515.03
1044,705.81
1045,911.37
1046,992.79
1047,1001.17
1048,938.82
1049,816.88
1050,632.07
1051,418.88
1052,197.64
1053,12.85
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,7.4
1065,105.12
1066,243.3
1067,466.61
1068,649.4
1069,760.25
1070,857.34
1071,914.73
1072,839.28
1073,736.46
1074,470.06
1075,375.58
1076,158.72
1077,12.9
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,6.85
1089,96.42
1090,226.49
1091,413.99
1092,536.66
1093,679.85
1094,686.73
1095,895.04
1096,852.7
1097,738.16
1098,606.64
1099,413.9
1100,195.52
1101,12
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,125.33
1114,323.78
1115,555.08
1116,779.12
1117,931.29
1118,1007.48
1119,1013.11
1120,951.22
1121,825.74
1122,644.64
1123,427.33
1124,198.02
1125,11.45
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,162.34
1138,383.35
1139,598.57
1140,780.76
1141,913.32
1142,985.83
1143,990.17
1144,928.78
1145,799.71
1146,627.63
1147,410.76
1148,186.68
1149,12.55
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,139.88
1162,365.19
1163,451.92
1164,582.85
1165,739.81
1166,647.14
1167,842.53
1168,840.4
1169,768.21
1170,578.51
1171,326.01
1172,176.39
1173,11.35
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,90.04
1186,210.58
1187,408.46
1188,551.01
1189,627.6
1190,724.34
1191,832.11
1192,933.68
1193,813.89
1194,630.89
1195,413.68
1196,187.82
1197,10.15
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,116.18
1210,256.42
1211,460.76
1212,702.2
1213,806.97
1214,785.83
1215,811.93
1216,746.51
1217,776.51
1218,615.69
1219,407.71
1220,181.5
1221,9.65
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0
1232,0
1233,148.72
1234,358.23
1235,557.64
1236,744.16
1237,879.14
1238,968.09
1239,991.72
1240,928.67
1241,801.15
1242,618.81
1243,404.84
1244,178.74
1245,8.95
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1256,0
1257,150.72
1258,374.85
1259,595.21
1260,781.92
1261,917.72
1262,991.18
1263,996.26
1264,932.58
1265,805.06
1266,625.76
1267,406.77
1268,178.03
1269,8.4
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,150.62
1282,376.58
1283,597.53
1284,784.39
1285,920.53
1286,994.04
1287,998.03
1288,932.4
1289,803.09
1290,621.64
1291,402.05
1292,173.82
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,142.34
1306,363.32
1307,574.29
1308,761.89
1309,894.85
1310,967.4
1311,970.4
1312,901.38
1313,776.95
1314,600.4
1315,386.09
1316,164.09
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,129.8
1330,348.46
1331,552.16
1332,734.18
1333,862.16
1334,935.7
1335,945.32
1336,883.24
1337,760.5
1338,590.99
1339,378.73
1340,158.88
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,69.28
1354,166.06
1355,361.32
1356,604.51
1357,759.51
1358,704.47
1359,693.51
1360,815.28
1361,635.82
1362,547.42
1363,367.07
1364,146.2
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,72.53
1378,202.8
1379,303.14
1380,332.93
1381,529.67
1382,696.4
1383,805.92
1384,914.11
1385,775.74
1386,598.13
1387,381.19
1388,143.69
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,0
1401,110.43
1402,299.5
1403,474.83
1404,608.52
1405,746.98
1406,849.72
1407,900.54
1408,866.47
1409,757.63
1410,589.21
1411,371.97
1412,149.74
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0
1424,0
1425,128.82
1426,343.08
1427,563.72
1428,747.91
1429,878.33
1430,944.33
1431,915.13
1432,887.89
1433,758.62
1434,579.43
1435,364.33
1436,144.34
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,126.06
1450,345.43
1451,561.57
1452,718.05
1453,776.06
1454,813.43
1455,714.44
1456,671.42
1457,501.98
1458,369.01
1459,116.39
1460,29.9
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,0
1473,83.26
1474,229.15
1475,352.05
1476,512.88
1477,658.92
1478,583.59
1479,658.89
1480,757.98
1481,649.15
1482,514.34
1483,300.22
1484,114.99
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0
1497,83.53
1498,282.68
1499,298.17
1500,347.92
1501,430.08
1502,704.56
1503,653.4
1504,570.4
1505,588.64
1506,162.73
1507,101.42
1508,57.12
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0
1520,0
1521,65.27
1522,243.26
1523,469.87
1524,628.07
1525,742.87
1526,796.2
1527,747.22
1528,776.04
1529,653.72
1530,488.17
1531,301.04
1532,119.73
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0
1545,83.77
1546,276.85
1547,467.03
1548,641.42
1549,750.24
1550,739
1551,813.11
1552,749.46
1553,508.49
1554,355.92
1555,169.71
1556,62.95
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,0
1569,66.41
1570,165.68
1571,295.62
1572,388.07
1573,725.58
1574,778.59
1575,917.52
1576,832.06
1577,726.84
1578,565.58
1579,343.43
1580,122.77
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,110.33
1594,325.32
1595,536.14
1596,723.22
1597,852.7
1598,917.21
1599,904.06
1600,832.51
1601,700.05
1602,542.34
1603,327.7
1604,113.8
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,0
1615,0
1616,0
1617,86.36
1618,201.42
1619,285.91
1620,641.62
1621,768.07
1622,851.32
1623,922.2
1624,861.61
1625,734.24
1626,548.32
1627,331.1
1628,113.99
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0
1640,0
1641,107.81
1642,322.98
1643,533.24
1644,672.94
