PV_gen_share	OcM	REM	Storage_hrs	BackupShare	Storage_LCOH	GreenHydrogen_LCOH	Transport_LCHS	Electricity_LCOH	Total_LCOH		
0.4	0.5	2	10	0.437296116	0.194191303	5.34678696	0.054249853	3.712301678	9.307529795		
0.45	0.5	2	11	0.44340299	0.213610434	5.405372293	0.054249853	3.635147908	9.308380488		
0.5	0.5	2	10	0.45188814	0.194191303	5.488940332	0.054249853	3.571713158	9.309094647		
0.55	0.5	2	8	0.461662242	0.155353043	5.588467944	0.054249853	3.514678658	9.312749498		
0.25	0.5	2	4	0.423359358	0.07767553	5.217618856	0.054249161	3.96385228	9.313395826		
0.3	0.5	2	7	0.427314514	0.135933471	5.253690354	0.054249677	3.876721612	9.320595113		
0.6	0.5	2	3	0.475009704	0.058257391	5.730368249	0.054249853	3.479055001	9.321930495		
0.35	0.5	2	10	0.431250712	0.194191303	5.290030494	0.054249853	3.788208144	9.326679794		
0.4	0.5	2	11	0.437296116	0.213610434	5.34678696	0.054249853	3.712301678	9.326948925		
0.45	0.5	2	12	0.44340299	0.233029564	5.405372293	0.054249853	3.635147908	9.327799618		
0.5	0.5	2	11	0.45188814	0.213610434	5.488940332	0.054249853	3.571713158	9.328513777		
0.55	0.5	2	9	0.461662242	0.174772173	5.588467944	0.054249853	3.514678658	9.332168628		
0.25	0.5	2	5	0.423359358	0.097094412	5.217618856	0.054249161	3.96385228	9.332814709		
0.2	0.5	2	1	0.421240091	0.019418741	5.198474627	0.054248766	4.062654574	9.334796708		
0.3	0.5	2	8	0.427314514	0.155352538	5.253690354	0.054249677	3.876721612	9.34001418		
0.6	0.5	2	4	0.475009704	0.077676521	5.730368249	0.054249853	3.479055001	9.341349625		
0.35	0.5	2	11	0.431250712	0.213610434	5.290030494	0.054249853	3.788208144	9.346098924		
0.4	0.5	2	12	0.437296116	0.233029564	5.34678696	0.054249853	3.712301678	9.346368056		
0.45	0.5	2	13	0.44340299	0.252448694	5.405372293	0.054249853	3.635147908	9.347218749		
0.5	0.5	2	12	0.45188814	0.233029564	5.488940332	0.054249853	3.571713158	9.347932907		
0.55	0.5	2	10	0.461662242	0.194191303	5.588467944	0.054249853	3.514678658	9.351587758		
0.25	0.5	2	6	0.423359358	0.116513295	5.217618856	0.054249161	3.96385228	9.352233591		
0.2	0.5	2	2	0.421240091	0.038837482	5.198474627	0.054248766	4.062654574	9.354215449		
0.3	0.5	2	9	0.427314514	0.174771605	5.253690354	0.054249677	3.876721612	9.359433247		
0.6	0.5	2	5	0.475009704	0.097095652	5.730368249	0.054249853	3.479055001	9.360768755		
0.35	0.5	2	12	0.431250712	0.233029564	5.290030494	0.054249853	3.788208144	9.365518055		
0.4	0.5	2	13	0.437296116	0.252448694	5.34678696	0.054249853	3.712301678	9.365787186		
0.45	0.5	2	14	0.44340299	0.271867825	5.405372293	0.054249853	3.635147908	9.366637879		
0.5	0.5	2	13	0.45188814	0.252448694	5.488940332	0.054249853	3.571713158	9.367352038		
0.55	0.5	2	11	0.461662242	0.213610434	5.588467944	0.054249853	3.514678658	9.371006889		
0.25	0.5	2	7	0.423359358	0.135932177	5.217618856	0.054249161	3.96385228	9.371652474		
0.2	0.5	2	3	0.421240091	0.058256223	5.198474627	0.054248766	4.062654574	9.37363419		
0.3	0.5	2	10	0.427314514	0.194190672	5.253690354	0.054249677	3.876721612	9.378852315		
0.6	0.5	2	6	0.475009704	0.116514782	5.730368249	0.054249853	3.479055001	9.380187886		
0.35	0.5	2	13	0.431250712	0.252448694	5.290030494	0.054249853	3.788208144	9.384937185		
0.4	0.5	2	14	0.437296116	0.271867825	5.34678696	0.054249853	3.712301678	9.385206316		
0.45	0.5	2	15	0.44340299	0.291286955	5.405372293	0.054249853	3.635147908	9.386057009		
0.5	0.5	2	14	0.45188814	0.271867825	5.488940332	0.054249853	3.571713158	9.386771168		
