PV_gen_share,OcM,REM,Storage_hrs,BackupShare,Storage_LCOH,GreenHydrogen_LCOH,Transport_LCHS,Electricity_LCOH,Total_LCOH
0,0.5,2,1,0.416960099729553,0.0194185458376594,5.16027857089691,0.0542482204489013,4.48289139391606,9.71683673109954
0,0.5,2,2,0.416960099729553,0.0388370916753188,5.16027857089691,0.0542482204489013,4.48289139391606,9.7362552769372
0,0.5,2,3,0.416960099729553,0.0582556375129782,5.16027857089691,0.0542482204489013,4.48289139391606,9.75567382277486
0,0.5,2,4,0.416960099729553,0.0776741833506377,5.16027857089691,0.0542482204489013,4.48289139391606,9.77509236861252
0,0.5,2,5,0.416960099729553,0.0970927291882971,5.16027857089691,0.0542482204489013,4.48289139391606,9.79451091445017
0,0.5,2,6,0.416960099729553,0.116511275025956,5.16027857089691,0.0542482204489013,4.48289139391606,9.81392946028783
0,0.5,2,7,0.416960099729553,0.135929820863616,5.16027857089691,0.0542482204489013,4.48289139391606,9.83334800612549
0,0.5,2,8,0.416960099729553,0.155348366701275,5.16027857089691,0.0542482204489013,4.48289139391606,9.85276655196315
0,0.5,2,9,0.416960099729553,0.174766912538935,5.16027857089691,0.0542482204489013,4.48289139391606,9.87218509780081
0,0.5,2,10,0.416960099729553,0.194185458376594,5.16027857089691,0.0542482204489013,4.48289139391606,9.89160364363847
0,0.5,2,11,0.416960099729553,0.213604004214254,5.16027857089691,0.0542482204489013,4.48289139391606,9.91102218947613
0,0.5,2,12,0.416960099729553,0.233022550051913,5.16027857089691,0.0542482204489013,4.48289139391606,9.93044073531379
0,0.5,2,13,0.416960099729553,0.252441095889572,5.16027857089691,0.0542482204489013,4.48289139391606,9.94985928115145
0,0.5,2,14,0.416960099729553,0.271859641727232,5.16027857089691,0.0542482204489013,4.48289139391606,9.96927782698911
0,0.5,2,15,0.416960099729553,0.291278187564891,5.16027857089691,0.0542482204489013,4.48289139391606,9.98869637282677
0,0.5,2,16,0.416960099729553,0.310696733402551,5.16027857089691,0.0542482204489013,4.48289139391606,10.0081149186644
0,0.5,2,17,0.416960099729553,0.33011527924021,5.16027857089691,0.0542482204489013,4.48289139391606,10.0275334645021
0,0.5,2,18,0.416960099729553,0.34953382507787,5.16027857089691,0.0542482204489013,4.48289139391606,10.0469520103397
0,0.5,2,19,0.416960099729553,0.368952370915529,5.16027857089691,0.0542482204489013,4.48289139391606,10.0663705561774
0,0.5,2,20,0.416960099729553,0.388370916753188,5.16027857089691,0.0542482204489013,4.48289139391606,10.0857891020151
0,0.5,2,21,0.416960099729553,0.407789462590848,5.16027857089691,0.0542482204489013,4.48289139391606,10.1052076478527
0,0.5,2,22,0.416960099729553,0.427208008428507,5.16027857089691,0.0542482204489013,4.48289139391606,10.1246261936904
0,0.5,2,23,0.416960099729553,0.446626554266167,5.16027857089691,0.0542482204489013,4.48289139391606,10.144044739528
0,0.5,2,24,0.416960099729553,0.466045100103826,5.16027857089691,0.0542482204489013,4.48289139391606,10.1634632853657
0,0.5,2,25,0.416960099729553,0.485463645941485,5.16027857089691,0.0542482204489013,4.48289139391606,10.1828818312034
0,0.5,2.5,1,0.346444319944938,0.0194169198561918,5.75285541794823,0.05844846061371,4.99839635015526,10.8291171485734
0,0.5,2.5,2,0.328403892899133,0.0388294197442852,5.59759314375368,0.0584418081597362,4.86332784003289,10.5581922116906
0,0.5,2.5,3,0.317744641989951,0.0582375011733168,5.50936207576033,0.0584351572199206,4.78657230516656,10.4126070393201
0,0.5,2.5,4,0.310976760927811,0.0776411656516364,5.45444430052147,0.0584285077937463,4.7387972605253,10.3293112344922
0,0.5,2.5,5,0.305908228589001,0.0970404146869071,5.41380596176929,0.0584218598806967,4.70344443642441,10.2727126727613
0,0.5,2.5,6,0.301718007660729,0.116435249786106,5.38051309916893,0.0584152134802552,4.6744817191612,10.2298452815965
0,0.5,2.5,7,0.298323312594386,0.135825672455525,5.35367563151475,0.0584085685919057,4.65113479351354,10.1990446660757
0,0.5,2.5,8,0.295506604465991,0.155211684200769,5.3314639156694,0.0584019252151323,4.6318119838867,10.176889508972
0,0.5,2.5,9,0.293010399886883,0.174593286526761,5.31183622176429,0.0583952833494193,4.61473711243673,10.1595619040772
0,0.5,2.5,10,0.290662519138098,0.193970480937737,5.29345608167283,0.0583886429942511,4.5987475351175,10.1445627407223
0,0.5,2.5,11,0.28891708342711,0.213343268937249,5.27965822659806,0.0583820041491125,4.58674426041666,10.1381277601011
0,0.5,2.5,12,0.287400483856481,0.232711652028166,5.2676177230395,0.0583753668134884,4.57626977210188,10.134974513983
0,0.5,2.5,13,0.286050857653176,0.252075631712674,5.25685702264987,0.0583687309868642,4.5669086328487,10.1342100181981
0,0.5,2.5,14,0.285017170351066,0.271435209492275,5.24845012406996,0.0583620966687252,4.55959515459502,10.137842584826
0,0.5,2.5,15,0.283992580187131,0.29079038686779,5.24013643601759,0.0583554638585572,4.55236276369595,10.1416450504399
0,0.5,2.5,16,0.2832577206479,0.310141165339356,5.23395571616091,0.058348832555846,4.54698592230382,10.1494316363599
0,0.5,2.5,17,0.28257466053861,0.329487546406429,5.22816550419239,0.0583422027600778,4.54194879845683,10.1579440518157
0,0.5,2.5,18,0.281973052920873,0.348829531567783,5.22297803499156,0.058335574470739,4.53743602328402,10.1675791643141
0,0.5,2.5,19,0.281403836163131,0.368167122321512,5.21803502959439,0.0583289476873162,4.53313591639722,10.1776670160004
0,0.5,2.5,20,0.28083461940539,0.387500320165029,5.2131013842529,0.0583223224092963,4.52884395217601,10.1877679790032
0,0.5,2.5,21,0.280317511971071,0.406829126595067,5.20855241029313,0.0583156986361664,4.5248866281028,10.1985838636272
0,0.5,2.5,22,0.279862138564878,0.426153543107678,5.20445533670298,0.0583090763674137,4.52132242921061,10.2102403853887
0,0.5,2.5,23,0.279504909580546,0.445473571198235,5.20106955891602,0.0583024556025258,4.51837701337367,10.2232225990905
0,0.5,2.5,24,0.279182627141891,0.464789212361433,5.19793888558986,0.0582958363409906,4.51565352253188,10.2366774568242
0,0.5,2.5,25,0.278954940438795,0.484145911939113,5.19616464084035,0.0582946903522151,4.51411004008483,10.2527152832165
0,0.5,3,1,0.311129917553688,0.0194169198561918,6.54859430407182,0.0625374556986144,5.69063962916647,12.3211883087931
0,0.5,3,2,0.288782617981754,0.0388294197442852,6.34207369576786,0.0625303378457009,5.51097956030625,11.9544130136641
0,0.5,3,3,0.271172027787356,0.0582375011733168,6.18808653812293,0.0625232216128745,5.37702032217851,11.6858675830876
